"dispenser_id","10-22 17","10-19 18","10-20 11","10-23 22","10-22 02","10-24 06","10-23 00","10-26 19","10-24 17","10-21 23","10-23 03","10-20 04","10-23 10","10-21 05","10-21 15","10-19 14","10-21 09","10-23 15","10-22 06","10-27 01","10-22 13","10-25 14","10-23 07","10-20 01","10-25 07","10-20 08","10-19 02","10-26 22","10-26 11","10-26 00","10-24 05","10-20 22","10-26 12","10-25 21","10-23 16","10-25 10","10-26 23","10-21 20","10-23 21","10-26 09","10-24 11","10-22 00","10-20 15","10-19 07","10-24 22","10-24 07","10-22 10","10-25 08","10-19 20","10-21 11","10-25 18","10-24 18","10-22 16","10-23 02","10-25 06","10-26 01","10-20 03","10-26 18","10-21 04","10-19 13","10-26 08","10-19 01","10-20 10","10-22 01","10-24 09","10-25 00","10-20 21","10-24 02","10-21 22","10-23 06","10-22 12","10-24 14","10-21 18","10-20 07","10-26 04","10-20 17","10-21 08","10-20 02","10-19 17","10-22 05","10-24 21","10-21 19","10-24 10","10-21 14","10-19 06","10-25 03","10-25 22","10-20 20","10-26 13","10-25 11","10-21 21","10-25 16","10-20 18","10-19 09","10-22 11","10-22 09","10-21 10","10-23 20","10-26 07","10-20 14","10-22 22","10-25 09","10-19 11","10-21 03","10-22 19","10-19 16","10-21 17","10-20 13","10-22 04","10-25 17","10-24 08","10-21 00","10-24 19","10-20 06","10-19 21","10-23 13","10-26 02","10-19 05","10-26 17","10-24 15","10-24 00","10-25 12","10-19 10","10-20 19","10-25 01","10-26 06","10-24 03","10-21 07","10-23 08","10-23 17","10-25 04","10-25 23","10-23 12","10-23 05","10-17 16","10-26 20","10-22 23","10-24 13","10-19 22","10-26 14","10-19 12","10-25 15","10-22 08","10-19 23","10-22 15","10-27 00","10-21 01","10-25 19","10-23 19","10-24 01","10-19 03","10-23 23","10-22 03","10-23 01","10-24 16","10-22 14","10-22 21","10-26 03","10-21 16","10-20 09","10-19 08","10-26 10","10-25 20","10-26 16","10-25 13","10-21 13","10-23 14","10-22 18","10-25 02","10-19 19","10-20 05","10-19 04","10-26 05","10-21 06","10-20 12","10-22 20","10-26 21","10-24 23","10-23 09","10-23 18","10-25 05","10-21 02","10-19 15","10-26 15","10-20 00","10-20 16","10-20 23","10-22 07","10-24 04","10-24 12","10-21 12","10-23 11","10-23 04","10-24 20"
"19483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19558","","","","","","2","","","","","","","","","","","","","","","3","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
"19612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19755","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19761","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","2","","","","1","","","","","","","","","1","","1","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","",""
"19773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19780","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","2","","","","","","","","","","","","4","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19834","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19923","1","","","","","","","1","","","","","","","1","","","","","","","1","","","","","","","2","","","","1","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","3","","","","","1","","1","","","","","","","","","1","","","","","","","","","1","","","","","","","","","1","","","1","","","1","","","","1","","","","","","1","","","","1","","","","","","","","","","","","","1","2","","","","","","","","1","","","","1","2","","","2","","","","","","","","","","1","","","","","","","","1","","","","","1","","","3","",""
"19924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
"19934","","","","","","","","","","","","","1","","","","","","","","9","","","","","","","","3","","","","","","","","","","","3","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","2","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","4","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","",""
"19948","4","","","1","","","","","","","","","","","","","","","","1","","","","","","","","1","","1","1","","","","1","","","","1","","","","","","","2","1","","","","1","1","1","1","","1","","1","","","","","","","","3","","","","","","","1","","1","","","","","","","","","","","","1","","","","","","","","","","","2","2","","","3","","","1","","1","","","4","1","","1","","","","","","3","","1","","","","1","","1","","","1","","","","","","","","","","","","1","","","1","","","3","2","","","1","","","","","","","","","","","1","","1","2","2","","2","","","","","","","","","","","","2","","","2","","","","","","","","","",""
"19949","","","","","","","","","","","","","1","","","","","","","","","","2","","","","","","2","","","","2","","2","","","","","1","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","1","","","","","","2","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","2","","","","","","","1","","","4","","","","","","","","","","","","","","","","","","","2","","","","3","","","","","","","","","","","","","6","","","","","2","","","","","","","","","",""
