"dispenser_id","10-24 09","10-25 00","10-25 20","10-20 08","10-25 19","10-24 05","10-21 18","10-24 12","10-24 23","10-20 13","10-21 07","10-22 17","10-22 02","10-20 17","10-26 15","10-21 16","10-25 15","10-20 00","10-25 08","10-24 16","10-22 13","10-22 06","10-26 09","10-21 12","10-25 10","10-21 22","10-25 04","10-23 14","10-23 15","10-26 05","10-20 18","10-26 23","10-23 03","10-26 12","10-21 01","10-24 01","10-20 20","10-21 08","10-23 19","10-20 05","10-24 20","10-26 19","10-24 19","10-23 08","10-20 23","10-25 23","10-21 19","10-24 15","10-21 04","10-24 04","10-22 01","10-26 14","10-22 16","10-20 12","10-25 09","10-22 23","10-21 15","10-22 05","10-23 18","10-21 00","10-21 20","10-22 07","10-25 16","10-21 11","10-22 12","10-23 07","10-21 21","10-25 05","10-26 20","10-26 13","10-20 09","10-26 06","10-26 08","10-20 04","10-24 00","10-21 03","10-26 17","10-22 22","10-21 14","10-26 02","10-25 22","10-20 06","10-25 13","10-23 02","10-24 07","10-26 18","10-24 10","10-22 11","10-25 02","10-22 00","10-23 13","10-23 20","10-25 17","10-24 21","10-20 02","10-25 06","10-21 09","10-22 15","10-20 19","10-22 18","10-24 11","10-26 10","10-21 17","10-24 08","10-22 08","10-21 06","10-20 03","10-24 22","10-24 18","10-20 11","10-26 03","10-23 09","10-26 07","10-25 12","10-21 10","10-24 03","10-20 22","10-23 23","10-25 01","10-24 14","10-27 00","10-23 17","10-22 04","10-23 06","10-23 04","10-20 10","10-25 21","10-22 10","10-23 10","10-21 02","10-25 07","10-22 21","10-26 01","10-27 01","10-25 18","10-26 16","10-22 14","10-20 14","10-20 16","10-23 21","10-26 21","10-23 01","10-21 13","10-23 12","10-24 06","10-24 13","10-20 01","10-20 15","10-23 05","10-20 21","10-23 11","10-26 22","10-24 17","10-26 11","10-23 16","10-22 03","10-21 05","10-22 19","10-26 00","10-23 22","10-24 02","10-25 11","10-23 00","10-21 23","10-25 03","10-22 20","10-20 07","10-25 14","10-26 04","10-22 09"
"11061","","","","","","","3.0","","","0.0","0.0","","","10.0","0.0","","8.0","0.0","","","","","","","","","","","","","1.0","","","0.0","","","0.0","","","","","","","","0.0","","0.0","","","","0.0","5.0","","0.0","","","","","","","","","11.0","","0.0","","0.0","","","1.0","1.0","","","","","","0.0","","","","","","0.0","0.0","","","2.0","","","","","0.0","","","","","","","0.0","3.0","","2.0","","","4.0","","","","","2.0","","","","","","","","","","","","","","","","8.0","","","0.0","","","","","","","2.0","","25.0","35.0","","","","","","0.0","","","44.0","","","","","","0.0","","","","","","","","19.0","","","","","0.0","8.0","",""
"11062","","","","","","","","","","0.0","","","","","","0.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","0.0","","","","","","0.0","","","","","0.0","","","","","","0.0","","","","","","0.0","","","","","",""
"11063","5.0","0.0","37.0","77.0","5.0","","66.0","47.0","1.0","0.0","","0.0","0.0","0.0","","2.0","7.0","6.0","1.0","0.0","30.0","0.0","59.0","4.0","1.0","0.0","2.0","5.0","5.0","0.0","3.0","8.0","22.0","13.0","","","12.0","5.0","5.0","","3.0","0.0","2.0","6.0","","","0.0","","","3.0","1.0","0.0","1.0","32.0","","","","","","","3.0","","13.0","0.0","7.0","12.0","49.0","","28.0","70.0","0.0","","1.0","0.0","","","","6.0","","1.0","","1.0","7.0","0.0","6.0","","","0.0","","","11.0","34.0","2.0","","2.0","","28.0","10.0","","","","1.0","5.0","84.0","","","11.0","","","3.0","","6.0","0.0","18.0","4.0","","0.0","","","0.0","","7.0","2.0","35.0","99.0","4.0","4.0","51.0","2.0","","","8.0","","","5.0","4.0","13.0","27.0","0.0","7.0","3.0","0.0","21.0","15.0","","0.0","4.0","0.0","1.0","2.0","0.0","48.0","4.0","42.0","23.0","0.0","","13.0","","","","68.0","","","","","4.0","0.0","","12.0"
"11065","","","","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","","","","","","","","","","","","","","0.0","","","","","","","","","","","","0.0","","","","0.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","3.0","","","","","","","2.0","","0.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","0.0","","","","","","","","","",""
"11066","","","","163.0","","","81.0","","","33.0","0.0","0.0","","77.0","","60.0","","231.0","","","11.0","9.0","","83.0","","3.0","","","","","5.0","49.0","","","42.0","","0.0","","","0.0","","0.0","","","103.0","","605.0","0.0","","","0.0","","","204.0","","","22.0","3.0","","57.0","215.0","","","8.0","4.0","","21.0","","0.0","","60.0","","","","","6.0","","","36.0","","","2.0","","","","","","32.0","","","","","","","16.0","","66.0","105.0","139.0","","","","","","","142.0","","","","87.0","","14.0","","","26.0","","28.0","","","","3.0","","","","","51.0","","8.0","","22.0","","0.0","","0.0","","","74.0","14.0","213.0","","272.0","","140.0","","","","0.0","604.0","","121.0","","15.0","","","0.0","","","20.0","","","","","","4.0","","","3.0","","","106.0"
"11067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","",""
"11069","","","","","","","18.0","","","","","","","","","","","","","","5.0","","","28.0","","","","2.0","6.0","","","","","","","","","","","","","38.0","","0.0","","","","","","","","2.0","0.0","0.0","","","201.0","","","","","","","7.0","3.0","","","","0.0","0.0","","","","","","","","","452.0","","","","","","","33.0","","","","","0.0","","","","","","","2.0","","","","0.0","13.0","","","","","","","","","12.0","","","","","","","","","","","","","","","","","9.0","","","4.0","","","","35.0","0.0","","","","","","466.0","1.0","","","","","","","14.0","","","","0.0","","","3.0","","","","","23.0","","","25.0","","","",""
"11071","","","","49.0","","","2.0","","","81.0","","","","0.0","8.0","0.0","","37.0","","","19.0","","5.0","5.0","6.0","11.0","","0.0","","","","","","6.0","12.0","","","","391.0","","","10.0","","","","","8.0","","","","","13.0","17.0","154.0","","","","","32.0","","","","","21.0","21.0","","","","2.0","27.0","16.0","","0.0","","","0.0","6.0","0.0","0.0","","","","1.0","","6.0","7.0","","0.0","","","","","","","145.0","","","10.0","","0.0","","15.0","0.0","","","","65.0","","","25.0","","","","0.0","6.0","","0.0","30.0","","","4.0","298.0","","","","134.0","","0.0","8.0","","","18.0","","","","0.0","0.0","7.0","","6.0","29.0","","0.0","","","","71.0","","","","16.0","","","","4.0","","","10.0","","2.0","","6.0","8.0","18.0","","3.0","14.0","","","0.0"
"11072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","1.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"11073","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
